      [,1]    [,2]        [,3]
 [1,] 0.00 0.19840 0.181884364
 [2,] 0.01 0.20986 0.189319894
 [3,] 0.02 0.21509 0.192836142
 [4,] 0.03 0.23379 0.194846352
 [5,] 0.04 0.24189 0.201386903
 [6,] 0.05 0.24371 0.201462461
 [7,] 0.06 0.24586 0.199964112
 [8,] 0.07 0.26506 0.207886539
 [9,] 0.08 0.28286 0.209226662
[10,] 0.09 0.28747 0.207538361
[11,] 0.10 0.30556 0.206458983
[12,] 0.11 0.31721 0.203293493
[13,] 0.12 0.33656 0.206952158
[14,] 0.13 0.33853 0.210581299
[15,] 0.14 0.34729 0.207480611
[16,] 0.15 0.36391 0.201844874
[17,] 0.16 0.38088 0.198909504
[18,] 0.17 0.37649 0.210574741
[19,] 0.18 0.39597 0.198976005
[20,] 0.19 0.41146 0.192965033
[21,] 0.20 0.42558 0.190183683
[22,] 0.21 0.43232 0.192098202
[23,] 0.22 0.44984 0.184619768
[24,] 0.23 0.44965 0.186673041
[25,] 0.24 0.46339 0.182589010
[26,] 0.25 0.48335 0.170937114
[27,] 0.26 0.49404 0.167792231
[28,] 0.27 0.50466 0.163040690
[29,] 0.28 0.51825 0.151572464
[30,] 0.29 0.52143 0.150364439
[31,] 0.30 0.52987 0.144809022
[32,] 0.31 0.53750 0.150318148
[33,] 0.32 0.55785 0.137967796
[34,] 0.33 0.56343 0.131092793
[35,] 0.34 0.56601 0.135146752
[36,] 0.35 0.58516 0.114542981
[37,] 0.36 0.58684 0.114502075
[38,] 0.37 0.59628 0.113220053
[39,] 0.38 0.60215 0.114768678
[40,] 0.39 0.61202 0.102389468
[41,] 0.40 0.61903 0.107718905
[42,] 0.41 0.63055 0.099609837
[43,] 0.42 0.63433 0.091907552
[44,] 0.43 0.64207 0.090528507
[45,] 0.44 0.64901 0.090913063
[46,] 0.45 0.66228 0.082526433
[47,] 0.46 0.66439 0.080466781
[48,] 0.47 0.67528 0.081067216
[49,] 0.48 0.67980 0.080430274
[50,] 0.49 0.69056 0.073434863
[51,] 0.50 0.69346 0.076026367
[52,] 0.51 0.70242 0.072964837
[53,] 0.52 0.70619 0.074386270
[54,] 0.53 0.71683 0.067791200
[55,] 0.54 0.71747 0.069408332
[56,] 0.55 0.72748 0.067860553
[57,] 0.56 0.73414 0.066100148
[58,] 0.57 0.74034 0.063815020
[59,] 0.58 0.74754 0.061835038
[60,] 0.59 0.75366 0.059844681
[61,] 0.60 0.75877 0.058450009
[62,] 0.61 0.76551 0.057879962
[63,] 0.62 0.77186 0.053449015
[64,] 0.63 0.77604 0.057155797
[65,] 0.64 0.78295 0.054335530
[66,] 0.65 0.79535 0.049182277
[67,] 0.66 0.79684 0.049810596
[68,] 0.67 0.80275 0.049444740
[69,] 0.68 0.80887 0.047172538
[70,] 0.69 0.81706 0.045635940
[71,] 0.70 0.82603 0.043044069
[72,] 0.71 0.82742 0.041492954
[73,] 0.72 0.83425 0.040920802
[74,] 0.73 0.84137 0.038963332
[75,] 0.74 0.84444 0.039365417
[76,] 0.75 0.85474 0.035207556
[77,] 0.76 0.85896 0.033003145
[78,] 0.77 0.86568 0.032655842
[79,] 0.78 0.86994 0.031221326
[80,] 0.79 0.87686 0.030266425
[81,] 0.80 0.88412 0.028702778
[82,] 0.81 0.88921 0.026870019
[83,] 0.82 0.89707 0.024582909
[84,] 0.83 0.90079 0.024295394
[85,] 0.84 0.90749 0.022726998
[86,] 0.85 0.91384 0.021417589
[87,] 0.86 0.91928 0.019536204
[88,] 0.87 0.92556 0.017871928
[89,] 0.88 0.93123 0.016824689
[90,] 0.89 0.93668 0.015531221
[91,] 0.90 0.94254 0.014323182
[92,] 0.91 0.94820 0.012598362
[93,] 0.92 0.95413 0.011746535
[94,] 0.93 0.95982 0.009933089
[95,] 0.94 0.96489 0.009125304
[96,] 0.95 0.97104 0.007305599
